race_id,race_title,race_date,着順,馬番,馬名,コーナー通過順,上がり3F,単勝オッズ,複勝配当,条件1,条件2,仮説フラグ
202505010112,4歳以上1勝クラス,2025/02/01,13,16,ユキノエリザベス,16-16-16,34.4,286.4,0,False,False,False
202505010112,4歳以上1勝クラス,2025/02/01,14,9,アルヴィエンヌ,9-8-8,35.4,201.7,0,True,False,False
202505010112,4歳以上1勝クラス,2025/02/01,15,6,コスモエスメラルダ,7-11-12,36.8,411.7,0,True,False,False
202505010112,4歳以上1勝クラス,2025/02/01,16,11,アンバーホーク,9-6-6,37.7,170.6,0,True,False,False
202505010201,3歳未勝利,2025/02/02,1,2,スマイルディシー,7-8,37.7,13.3,180,False,True,False
202505010201,3歳未勝利,2025/02/02,2,16,アサクサグレース,7-7,37.8,2.0,110,False,True,False
202505010201,3歳未勝利,2025/02/02,3,10,アイアンソリッド,4-6,38.1,3.6,120,False,True,False
202505010201,3歳未勝利,2025/02/02,4,6,ミトノキャット,1-1,38.8,5.9,0,True,False,False
202505010201,3歳未勝利,2025/02/02,5,9,レオネッサ,2-2,38.9,48.3,0,True,False,False
202505010201,3歳未勝利,2025/02/02,6,4,ジーティーグロウ,3-3,39.1,95.3,0,False,False,False
202505010201,3歳未勝利,2025/02/02,7,7,エウテルペ,10-10,38.8,17.4,0,False,False,False
202505010201,3歳未勝利,2025/02/02,8,13,アルフィオーレ,14-14,38.4,294.5,0,False,True,False
202505010201,3歳未勝利,2025/02/02,9,14,ハニーローリエ,4-3,40.0,10.5,0,False,False,False
202505010201,3歳未勝利,2025/02/02,10,3,ゴールドリッカ,7-8,39.8,65.3,0,False,False,False
202505010201,3歳未勝利,2025/02/02,11,12,ウーナファータ,10-12,39.3,209.6,0,False,False,False
202505010201,3歳未勝利,2025/02/02,12,1,マジョッコピロコ,10-10,39.7,238.6,0,True,False,False
202505010201,3歳未勝利,2025/02/02,13,11,オーガスタフラッグ,4-3,40.4,205.0,0,True,False,False
202505010201,3歳未勝利,2025/02/02,14,8,ポルテソレイユ,15-15,38.6,202.0,0,False,False,False
202505010201,3歳未勝利,2025/02/02,15,15,グランドクロス,16-16,38.3,326.9,0,False,False,False
202505010201,3歳未勝利,2025/02/02,16,5,カツノトゥウェルヴ,13-13,40.6,36.8,0,False,False,False
202505010202,4歳以上1勝クラス,2025/02/02,1,9,バナマンテソーロ,1-1-1-1,38.8,3.3,130,False,False,False
202505010202,4歳以上1勝クラス,2025/02/02,2,14,モーメントキャッチ,9-9-8-7,38.1,8.7,200,True,False,False
202505010202,4歳以上1勝クラス,2025/02/02,3,1,クロックフォード,6-6-6-6,38.4,4.8,150,False,True,False
202505010202,4歳以上1勝クラス,2025/02/02,4,11,コスモジンバック,8-7-2-2,39.1,6.2,0,False,True,False
202505010202,4歳以上1勝クラス,2025/02/02,5,13,スターチョウサン,4-4-5-5,39.1,18.1,0,False,False,False
202505010202,4歳以上1勝クラス,2025/02/02,6,6,トゥルース,11-11-10-10,38.6,36.6,0,False,True,False
202505010202,4歳以上1勝クラス,2025/02/02,7,10,ロフティーイデアル,3-2-2-2,39.8,14.0,0,True,True,True
202505010202,4歳以上1勝クラス,2025/02/02,8,2,ブリスキー,2-2-4-4,39.7,8.2,0,False,True,False
202505010202,4歳以上1勝クラス,2025/02/02,9,4,ロードインフェルノ,4-4-6-7,39.6,26.4,0,True,True,True
202505010202,4歳以上1勝クラス,2025/02/02,10,3,マルチライセンス,9-10-11-11,39.7,72.5,0,False,False,False
202505010202,4歳以上1勝クラス,2025/02/02,11,8,ミッキーストライク,6-7-8-7,40.5,12.5,0,True,True,True
202505010202,4歳以上1勝クラス,2025/02/02,12,5,ラファールドール,14-14-13-13,39.0,21.4,0,True,False,False
202505010202,4歳以上1勝クラス,2025/02/02,13,7,タイセイアーサー,12-12-12-12,40.4,73.1,0,True,False,False
202505010202,4歳以上1勝クラス,2025/02/02,14,12,ノーマジック,13-13-14-14,39.7,351.4,0,True,False,False
202505010203,3歳未勝利,2025/02/02,1,10,ルヴァレドクール,2-2,36.7,5.4,210,False,False,False
202505010203,3歳未勝利,2025/02/02,2,11,ホウオウサムレット,6-5,36.9,4.1,170,False,True,False
202505010203,3歳未勝利,2025/02/02,3,9,カーフキック,11-11,36.8,15.8,390,False,True,False
202505010203,3歳未勝利,2025/02/02,4,13,イスキオス,1-1,38.4,3.3,0,False,False,False
202505010203,3歳未勝利,2025/02/02,5,7,プライベートアイズ,8-8,37.7,25.4,0,True,False,False
202505010203,3歳未勝利,2025/02/02,6,8,ブラザービート,5-5,38.1,41.1,0,True,False,False
202505010203,3歳未勝利,2025/02/02,7,3,メモリードライブ,8-10,37.7,240.7,0,False,False,False
202505010203,3歳未勝利,2025/02/02,8,5,ナムラジミー,12-12,37.3,23.4,0,False,True,False
202505010203,3歳未勝利,2025/02/02,9,16,コスモコンフェルマ,3-3,38.6,16.9,0,False,True,False
202505010203,3歳未勝利,2025/02/02,10,4,グラフレナート,6-5,38.4,6.8,0,False,False,False
202505010203,3歳未勝利,2025/02/02,11,1,ジロラータ,3-3,39.3,34.2,0,False,False,False
202505010203,3歳未勝利,2025/02/02,12,15,アストラン,14-12,39.2,138.9,0,True,False,False
202505010203,3歳未勝利,2025/02/02,13,2,アセンブリールーム,12-12,40.0,9.2,0,True,False,False
202505010203,3歳未勝利,2025/02/02,14,14,ニシノプライム,8-8,41.0,286.9,0,False,False,False
202505010203,3歳未勝利,2025/02/02,15,6,スギノペガサス,15-15,40.2,471.5,0,False,False,False
202505010203,3歳未勝利,2025/02/02,16,12,ラブリイビジョン,16-16,39.3,349.0,0,False,False,False
202505010204,3歳新馬,2025/02/02,1,1,ウィテカービート,3-3,38.2,9.3,270,False,False,False
202505010204,3歳新馬,2025/02/02,2,9,シークザドリーム,1-1,38.6,2.4,140,False,False,False
202505010204,3歳新馬,2025/02/02,3,8,プレシャストップ,9-8,37.7,36.3,590,False,False,False
202505010204,3歳新馬,2025/02/02,4,5,エムティエスターテ,5-5,38.5,13.6,0,False,False,False
202505010204,3歳新馬,2025/02/02,5,4,ニシノベニトアイト,7-5,38.6,9.4,0,False,False,False
202505010204,3歳新馬,2025/02/02,6,11,デルマラメール,7-8,38.4,15.1,0,False,False,False
202505010204,3歳新馬,2025/02/02,7,3,マンダレーヒル,5-5,38.7,36.8,0,False,False,False
202505010204,3歳新馬,2025/02/02,8,10,ミラコレジェンヌ,3-3,39.2,78.9,0,False,False,False
202505010204,3歳新馬,2025/02/02,9,16,エクストラチャージ,2-2,40.0,3.6,0,False,False,False
202505010204,3歳新馬,2025/02/02,10,15,ノーブルジェネシス,14-13,39.1,19.2,0,False,False,False
202505010204,3歳新馬,2025/02/02,11,7,ゴールドリバース,11-10,39.7,96.2,0,False,False,False
202505010204,3歳新馬,2025/02/02,12,13,スーパーチャージ,15-15,39.3,30.7,0,False,False,False
202505010204,3歳新馬,2025/02/02,13,12,トルーティクス,13-13,39.7,38.5,0,False,False,False
202505010204,3歳新馬,2025/02/02,14,6,ダノンカローネ,16-16,39.3,72.6,0,False,False,False
202505010204,3歳新馬,2025/02/02,15,2,ジーティーカメリア,9-10,41.3,130.6,0,False,False,False
202505010204,3歳新馬,2025/02/02,16,14,スマイルインザサン,11-10,42.1,153.0,0,False,False,False
202505010205,3歳新馬,2025/02/02,1,13,ダノンセンチュリー,1-1-1,33.7,2.7,120,False,False,False
202505010205,3歳新馬,2025/02/02,2,8,アールヴィヴァン,3-4-4,33.3,4.9,150,False,False,False
202505010205,3歳新馬,2025/02/02,3,12,レッドバンデ,7-7-6,33.6,3.5,130,False,False,False
202505010205,3歳新馬,2025/02/02,4,15,ネポティズムベビー,3-3-2,34.1,19.8,0,False,False,False
202505010205,3歳新馬,2025/02/02,5,10,ジャスティンアロー,2-2-2,34.4,8.3,0,False,False,False
202505010205,3歳新馬,2025/02/02,6,9,エンブレイスメント,5-5-4,34.5,8.7,0,False,False,False
202505010205,3歳新馬,2025/02/02,7,14,マサムネ,9-8-9,34.2,29.7,0,False,False,False
202505010205,3歳新馬,2025/02/02,8,6,ムンディ,11-11-9,34.4,155.3,0,False,False,False
202505010205,3歳新馬,2025/02/02,9,3,ミシャベル,8-8-11,35.0,184.8,0,False,False,False
202505010205,3歳新馬,2025/02/02,10,1,マインドミー,14-12-12,34.8,196.5,0,False,False,False
